date,air_temperature,track_temperature,humidity,rainfall,wind_speed
2026-05-17T13:00:00Z,19.5,24.1,88,0.2,4.5
2026-05-17T13:10:00Z,19.4,23.5,90,0.5,4.7
2026-05-17T13:20:00Z,19.2,22.8,92,1.2,5.1
2026-05-17T13:30:00Z,19.1,22.2,94,2.5,5.5
2026-05-17T13:40:00Z,19.0,21.8,95,2.8,5.8
2026-05-17T13:50:00Z,18.9,21.5,96,2.2,5.2
2026-05-17T14:00:00Z,18.8,21.3,96,1.5,4.8
2026-05-17T14:10:00Z,18.8,21.2,97,1.0,4.5
2026-05-17T14:20:00Z,18.9,21.5,96,0.8,4.2
2026-05-17T14:30:00Z,19.0,21.8,95,0.5,3.9
2026-05-17T14:40:00Z,19.1,22.1,93,0.2,3.5
2026-05-17T14:50:00Z,19.2,22.5,91,0.0,3.1
2026-05-17T15:00:00Z,19.4,23.0,89,0.0,2.8
2026-05-17T15:10:00Z,19.5,23.5,88,0.0,2.5
